,result,prop,energy
1,000001,0.016759258953894882,25.0
9,001001,0.017101110977693512,26.0
18,010010,0.01752833420357276,27.0
26,011010,0.018039014990437724,28.0
38,100110,0.018015508253776708,28.0
29,011101,0.017293123442160357,29.0
5,000101,0.01709133254069081,30.0
33,100001,0.017479805723449066,31.0
42,101010,0.017956699234580854,32.0
22,010110,0.018072487758527583,32.0
20,010100,0.016735184424006157,36.0
6,000110,0.017140581558542534,38.0
34,100010,0.01746077119677993,39.0
41,101001,0.017991537211109503,40.0
24,011000,0.016735952712456117,48.0
45,101101,0.017197545350627733,49.0
10,001010,0.01709980270698735,50.0
17,010001,0.017447027338823924,51.0
37,100101,0.01800001721215469,52.0
16,010000,0.016531048892256244,63.0
36,100100,0.016735124704411797,64.0
2,000010,0.016773998710876852,65.0
25,011001,0.01797381237752503,68.0
13,001101,0.016587338173775695,83.0
40,101000,0.016710286992421573,84.0
30,011110,0.017119473724819638,85.0
21,010101,0.017957294407101483,88.0
4,000100,0.016438489262277936,106.0
32,100000,0.016515408749717252,107.0
8,001000,0.016424841656757058,134.0
46,101110,0.016925753871186847,137.0
0,000000,0.016392500789395255,165.0
53,110101,0.016362372507189415,166.0
28,011100,0.016323663323073834,201.0
57,111001,0.016244116091917112,202.0
14,001110,0.016349494222660927,203.0
49,110001,0.01601724935924677,241.0
44,101100,0.016181059559783467,285.0
54,110110,0.015911231521231108,334.0
12,001100,0.016119545975842024,383.0
58,111010,0.015748441264616504,386.0
50,110010,0.015538958158158537,441.0
61,111101,0.015221337663613941,499.0
52,110100,0.015604141610397023,562.0
56,111000,0.01546773693831036,630.0
48,110000,0.015497272011851713,701.0
62,111110,0.014539100851673915,779.0
23,010111,0.013792081395459123,1028.0
60,111100,0.014643377441791979,1119.0
27,011011,0.01356116397286556,1120.0
19,010011,0.013574222290259588,1215.0
39,100111,0.013337000071458374,1216.0
43,101011,0.013093200707806157,1316.0
7,000111,0.013452064114258068,1418.0
35,100011,0.0131186572609894,1419.0
11,001011,0.013220802216966473,1526.0
3,000011,0.013345325299811084,1637.0
31,011111,0.012298893744748728,1753.0
47,101111,0.011795488321595705,1997.0
15,001111,0.012087180590832369,2255.0
55,110111,0.010762791929108232,2674.0
59,111011,0.010500832924662706,2822.0
51,110011,0.01069346489951682,2973.0
63,111111,0.009367263655493742,3791.0
