,result,prop,energy
1,000001,0.021428734303940777,25.0
9,001001,0.02843553877953401,26.0
18,010010,0.03449982428214195,27.0
26,011010,0.035783023457491764,28.0
38,100110,0.03466551825539108,28.0
29,011101,0.026100251072462336,29.0
5,000101,0.02848754751727593,30.0
33,100001,0.03205626868537244,31.0
42,101010,0.03251284933481356,32.0
22,010110,0.037587017603934784,32.0
20,010100,0.024473111361752245,36.0
6,000110,0.031228894407180005,38.0
34,100010,0.03251766892889667,39.0
41,101001,0.03376919048196578,40.0
24,011000,0.02495093763483553,48.0
45,101101,0.024060733103598787,49.0
10,001010,0.030409328614560374,50.0
17,010001,0.03251714216457696,51.0
37,100101,0.03497449884236165,52.0
16,010000,0.015089502510326248,63.0
36,100100,0.025813854530860166,64.0
2,000010,0.024028010349660154,65.0
25,011001,0.03536226705680137,68.0
13,001101,0.019187193366488893,83.0
40,101000,0.025921223436927657,84.0
30,011110,0.023494919022494943,85.0
21,010101,0.0361468955967112,88.0
4,000100,0.009244923593131955,106.0
32,100000,0.016330190611357823,107.0
8,001000,0.00971630327901577,134.0
46,101110,0.020485188200233144,137.0
0,000000,0.004511093852200201,165.0
53,110101,0.015076790908136547,166.0
28,011100,0.014315375877473977,201.0
57,111001,0.013897209888926157,202.0
14,001110,0.018269218840979585,203.0
49,110001,0.01253398954263927,241.0
44,101100,0.014117130454231783,285.0
54,110110,0.01110293284595143,334.0
12,001100,0.005018211997052547,383.0
58,111010,0.00987798241424737,386.0
50,110010,0.00942800702385669,441.0
61,111101,0.007021229216928437,499.0
52,110100,0.006045412765823493,562.0
56,111000,0.005685505546074153,630.0
48,110000,0.0035114377018962252,701.0
62,111110,0.004318099518405952,779.0
23,010111,7.336371013431654e-05,1028.0
60,111100,0.00229914650325112,1119.0
27,011011,2.718152879536759e-05,1120.0
19,010011,7.750581299897211e-05,1215.0
39,100111,8.11525477353616e-05,1216.0
43,101011,0.00015071981543087002,1316.0
7,000111,0.00011467632116861624,1418.0
35,100011,8.497005805575047e-05,1419.0
11,001011,0.00011852413125879725,1526.0
3,000011,9.588678637637628e-05,1637.0
31,011111,7.947647587363375e-05,1753.0
47,101111,0.00017419811993087044,1997.0
15,001111,0.000138067370596776,2255.0
55,110111,5.0882417041156314e-05,2674.0
59,111011,2.954305304281019e-05,2822.0
51,110011,9.958907326184331e-05,2973.0
63,111111,0.00029693749411253143,3791.0
