,result,prop,energy
1,000001,0.023210568276887757,25.0
9,001001,0.026817322431528245,26.0
18,010010,0.0301478232904873,27.0
26,011010,0.03112374654174121,28.0
38,100110,0.030363630288046707,28.0
29,011101,0.023034237260561207,29.0
5,000101,0.027116563401432446,30.0
33,100001,0.028200559446012737,31.0
42,101010,0.028761374424806543,32.0
22,010110,0.03245969240363659,32.0
20,010100,0.027585308478427897,36.0
6,000110,0.02869264782324764,38.0
34,100010,0.028410364314521243,39.0
41,101001,0.0291674690552566,40.0
24,011000,0.02755186590865429,48.0
45,101101,0.02134153891346391,49.0
10,001010,0.027749248975852226,50.0
17,010001,0.02872230856444898,51.0
37,100101,0.030076676997620296,52.0
16,010000,0.021301131729497436,63.0
36,100100,0.027925960109337532,64.0
2,000010,0.02448604699786847,65.0
25,011001,0.030279507333596765,68.0
13,001101,0.019486857647212318,83.0
40,101000,0.027530122200808586,84.0
30,011110,0.020986456973909405,85.0
21,010101,0.03087216355349009,88.0
4,000100,0.017010562501657958,106.0
32,100000,0.02171329371597054,107.0
8,001000,0.017179629155763026,134.0
46,101110,0.018515358223632754,137.0
0,000000,0.011944404227223586,165.0
53,110101,0.014198183373341899,166.0
28,011100,0.0180800654036266,201.0
57,111001,0.013196561203012162,202.0
14,001110,0.017849108667612027,203.0
49,110001,0.012748208192070154,241.0
44,101100,0.017043746376580942,285.0
54,110110,0.010585004451634957,334.0
12,001100,0.010835035395276806,383.0
58,111010,0.009520691425387497,386.0
50,110010,0.009517659121440179,441.0
61,111101,0.007738793450389333,499.0
52,110100,0.009002263808364457,562.0
56,111000,0.008284976951714661,630.0
48,110000,0.006839637265762673,701.0
62,111110,0.004859230718768126,779.0
23,010111,0.0005186131709774227,1028.0
60,111100,0.003985345926561563,1119.0
27,011011,0.0002574145971988194,1120.0
19,010011,0.0004035556423658587,1215.0
39,100111,0.00011495205981728129,1216.0
43,101011,4.544974162849424e-05,1316.0
7,000111,0.0002740749723997668,1418.0
35,100011,5.975836683724431e-05,1419.0
11,001011,0.00010920634122698427,1526.0
3,000011,0.00019085634597023718,1637.0
31,011111,0.00015132584339894569,1753.0
47,101111,0.00027210972069390547,1997.0
15,001111,0.00021224459836763622,2255.0
55,110111,0.0009406655545297133,2674.0
59,111011,0.0008840288346743784,2822.0
51,110011,0.0009301407873269448,2973.0
63,111111,0.0005866505244299532,3791.0
