,result,prop,energy
1,000001,0.022827252302759848,25.0
9,001001,0.026045915664707944,26.0
18,010010,0.02924238528902908,27.0
26,011010,0.03107851763858748,28.0
38,100110,0.03046919044077979,28.0
29,011101,0.02245454695203529,29.0
5,000101,0.026307918177791996,30.0
33,100001,0.027482418842410233,31.0
42,101010,0.0290042558872795,32.0
22,010110,0.03228725901408693,32.0
20,010100,0.026578233307124492,36.0
6,000110,0.027647383936949942,38.0
34,100010,0.027738996947543518,39.0
41,101001,0.029108660254042865,40.0
24,011000,0.026542774676418475,48.0
45,101101,0.020917351946001236,49.0
10,001010,0.026806077511902508,50.0
17,010001,0.02789721386911084,51.0
37,100101,0.029958226393390575,52.0
16,010000,0.021324059441210963,63.0
36,100100,0.02684013931358496,64.0
2,000010,0.023799192803159692,65.0
25,011001,0.030079833425824775,68.0
13,001101,0.019274287140133593,83.0
40,101000,0.026472433919595355,84.0
30,011110,0.020661671607740205,85.0
21,010101,0.030636262457167017,88.0
4,000100,0.017826195007899934,106.0
32,100000,0.021616684813899053,107.0
8,001000,0.017950552667341503,134.0
46,101110,0.01839825271658316,137.0
0,000000,0.013622922685904704,165.0
53,110101,0.013882162512828668,166.0
28,011100,0.018303862364173543,201.0
57,111001,0.012961752527664896,202.0
14,001110,0.017606193232608425,203.0
49,110001,0.012774252396864302,241.0
44,101100,0.017216743771246275,285.0
54,110110,0.010478406067588574,334.0
12,001100,0.012368793674735295,383.0
58,111010,0.009476795815331509,386.0
50,110010,0.009627794222125842,441.0
61,111101,0.00816519088865669,499.0
52,110100,0.009938481353250329,562.0
56,111000,0.00916075994215729,630.0
48,110000,0.008169550848794182,701.0
62,111110,0.005241592382423299,779.0
23,010111,0.000899307259232789,1028.0
60,111100,0.0049119534983820936,1119.0
27,011011,0.000518150724062695,1120.0
19,010011,0.0007814561217473328,1215.0
39,100111,0.0002959282256748837,1216.0
43,101011,0.00013347699321264065,1316.0
7,000111,0.000662127863695421,1418.0
35,100011,0.00021347895266353965,1419.0
11,001011,0.0003597277192190514,1526.0
3,000011,0.0006011648159781501,1637.0
31,011111,0.00021462797813514973,1753.0
47,101111,0.00029999322082913474,1997.0
15,001111,0.00029857956807728377,2255.0
55,110111,0.0016024144648928527,2674.0
59,111011,0.001556161337225421,2822.0
51,110011,0.0014769210630499285,2973.0
63,111111,0.0009051311414621304,3791.0
