QAOA;WFQAOA;HQAOA
-0.886;-0.846;-1.096;
-0.180;-1.384;-0.694;
-0.849;-1.288;-0.701;
-1.169;-1.305;-0.445;
-1.196;-1.313;-1.136;
-0.876;-1.694;-1.666;
-0.638;-1.402;-1.231;
-0.270;-1.412;-0.990;
-1.066;-1.219;-1.371;
-0.804;-1.498;-1.084;
-0.912;-1.848;-1.741;
-0.732;-0.663;-0.780;
-0.673;-1.026;-1.533;
-0.805;-1.458;-0.919;
-1.059;-1.597;-1.271;
-0.357;-1.472;-1.010;
-0.979;-1.029;-0.747;
-0.682;-1.696;-1.615;
-1.167;-1.047;-0.893;
-0.890;-0.809;-1.006;
-0.585;-1.350;-0.922;
-0.953;-1.355;-1.047;
-1.524;-1.104;-1.031;
-0.765;-1.091;-1.421;
-0.969;-1.068;-1.242;
-0.558;-1.205;-1.174;
-0.521;-1.368;-0.711;
-0.754;-1.096;-0.880;
-0.767;-1.094;-0.804;
-1.793;-1.359;-1.127;
-0.798;-1.069;-1.100;
-0.834;-1.450;-1.302;
-0.776;-0.923;-1.628;
-0.872;-1.734;-1.317;
-0.641;-1.234;-0.665;
-1.129;-1.497;-1.326;
-1.527;-1.481;-0.935;
-1.182;-1.803;-1.530;
-0.498;-1.326;-1.436;
-1.298;-1.399;-1.328;
-0.667;-1.010;-1.140;
-0.912;-1.367;-1.560;
-0.761;-0.946;-1.460;
-0.873;-1.186;-1.200;
-1.154;-0.777;-0.901;
-0.897;-1.287;-1.036;
-1.865;-1.429;-0.962;
-0.886;-0.985;-0.981;
-0.560;-0.890;-0.956;
-1.102;-0.827;-1.663;
