QAOA;WFQAOA;HQAOA
-0.232;-0.716;-0.651;
-0.505;-0.735;-0.699;
-0.361;-0.684;-0.664;
-0.392;-0.782;-0.568;
-0.328;-0.780;-0.587;
-0.596;-0.688;-0.630;
-0.837;-0.791;-0.708;
-0.361;-1.112;-0.978;
-0.318;-0.789;-0.500;
-0.237;-0.746;-0.901;
-0.285;-0.700;-0.757;
-0.287;-0.789;-0.655;
-0.343;-1.153;-0.544;
-0.379;-0.486;-0.760;
-0.422;-0.779;-0.632;
-0.351;-0.655;-0.800;
-0.144;-0.466;-0.905;
-0.397;-0.460;-0.509;
-0.237;-0.485;-0.670;
-0.502;-1.187;-1.125;
-0.423;-0.731;-0.728;
-0.448;-0.679;-0.383;
-0.658;-0.985;-0.472;
-0.133;-0.727;-0.712;
-0.505;-0.448;-0.620;
-0.281;-0.484;-0.914;
-0.281;-0.767;-0.909;
-0.277;-0.525;-0.687;
-0.207;-0.792;-0.730;
-0.155;-0.725;-0.600;
-0.468;-0.678;-0.807;
-0.328;-0.926;-0.613;
-0.239;-0.834;-0.590;
-0.360;-0.930;-0.856;
-0.339;-0.633;-0.467;
-0.301;-0.933;-0.784;
-0.577;-0.857;-0.724;
-0.480;-0.755;-0.793;
-0.326;-1.018;-0.799;
-0.757;-0.777;-0.719;
-0.183;-0.632;-0.702;
-0.474;-0.755;-0.949;
-0.444;-0.497;-0.420;
-0.604;-0.727;-0.598;
-0.342;-0.666;-0.544;
-0.537;-0.901;-0.617;
-0.429;-0.441;-0.445;
-0.491;-0.594;-0.491;
-0.636;-0.473;-0.542;
-0.281;-0.709;-0.698;
