,result,prop,energy
1,000001,0.24998763567226442,25.0
9,001001,0.003591736164198975,26.0
18,010010,0.005875695327229127,27.0
26,011010,0.030633945026498285,28.0
38,100110,0.044955702505158485,28.0
29,011101,0.013452532336634742,29.0
5,000101,0.03230234616688511,30.0
33,100001,0.06790676878070447,31.0
42,101010,0.003654724742027099,32.0
22,010110,0.0063981809628072435,32.0
20,010100,0.030838351712764233,36.0
6,000110,0.005599522008747713,38.0
34,100010,0.004766264599853639,39.0
41,101001,0.002904088421452312,40.0
24,011000,0.028088596759958288,48.0
45,101101,0.003022574518854594,49.0
10,001010,0.011963786649007697,50.0
17,010001,0.024561747090911263,51.0
37,100101,0.007896790836366066,52.0
16,010000,0.011872417959261767,63.0
36,100100,0.0003480141147105128,64.0
2,000010,0.025888050443273043,65.0
25,011001,0.015188343285897701,68.0
13,001101,0.002343766045603977,83.0
40,101000,0.0038524309213135845,84.0
30,011110,0.010894578917201529,85.0
21,010101,0.0003231151281625477,88.0
4,000100,0.010774234128484545,106.0
32,100000,0.0028260675731222114,107.0
8,001000,0.009291028756112594,134.0
46,101110,0.0032823569118487993,137.0
0,000000,0.007317142814052976,165.0
53,110101,0.05137699215740061,166.0
28,011100,0.0026214670049055006,201.0
57,111001,0.017479537203692677,202.0
14,001110,0.012357160113870431,203.0
49,110001,0.0026714888866179553,241.0
44,101100,0.002792378481195062,285.0
54,110110,0.005534691492334108,334.0
12,001100,0.0006660567592555096,383.0
58,111010,0.03469492239095667,386.0
50,110010,0.015963927123306243,441.0
61,111101,0.026825352794453083,499.0
52,110100,0.003092576933774219,562.0
56,111000,0.010254903653433674,630.0
48,110000,0.00276368078007816,701.0
62,111110,0.014667364122291322,779.0
23,010111,0.007912672546657359,1028.0
60,111100,0.003544726064568994,1119.0
27,011011,0.0017355183631402886,1120.0
19,010011,0.007677690386927331,1215.0
39,100111,0.019933591105746197,1216.0
43,101011,0.009731359666122503,1316.0
7,000111,0.010882270579781781,1418.0
35,100011,0.004838305254979537,1419.0
11,001011,0.01010555670464438,1526.0
3,000011,0.0008827478399373929,1637.0
31,011111,0.01677535371233257,1753.0
47,101111,0.004142331351903752,1997.0
15,001111,0.0043975409564666985,2255.0
55,110111,0.0008465733657801578,2674.0
59,111011,0.00987250608674168,2822.0
51,110011,0.00032226138134834365,2973.0
63,111111,3.3957453972366616e-05,3791.0
