[Item(weight=1, value=2), Item(weight=1, value=2), Item(weight=1, value=1)] 2 niter: 50
BH_WFQAOA;BH_HQAOA
-2.408;-2.170;
-2.344;-2.328;
-2.247;-2.300;
-1.969;-1.823;
-2.132;-2.411;
-1.966;-1.994;
-2.229;-1.988;
-2.173;-2.073;
-2.085;-1.869;
-1.893;-2.128;
-2.083;-2.262;
-2.180;-2.320;
-2.449;-1.968;
-2.233;-1.848;
-1.753;-2.139;
-1.934;-1.977;
-2.175;-2.150;
-2.497;-2.006;
-2.022;-2.166;
-2.050;-2.389;
-2.175;-1.937;
-2.179;-2.123;
-2.058;-2.442;
-2.109;-2.139;
-1.915;-2.184;
-2.401;-2.053;
-2.233;-2.385;
-2.276;-2.121;
-1.874;-2.046;
-2.059;-2.358;
-2.451;-2.275;
-1.917;-1.985;
-2.191;-1.900;
-2.286;-2.068;
-2.127;-2.039;
-1.992;-2.214;
-2.256;-1.772;
-1.906;-1.921;
-2.413;-1.839;
-2.095;-2.116;
-1.987;-2.073;
-2.628;-1.862;
-2.101;-2.073;
-2.403;-2.262;
-2.324;-1.954;
-2.328;-2.094;
-2.585;-2.393;
-2.662;-2.321;
-2.311;-1.782;
-1.818;-2.137;
-2.568;-1.971;
-2.328;-2.054;
-2.240;-1.992;
-2.097;-2.071;
-2.405;-2.167;
-2.204;-2.124;
-2.165;-2.236;
-1.892;-2.369;
-1.660;-1.954;
-1.939;-2.024;
-2.080;-2.184;
-2.180;-2.344;
-2.536;-2.267;
-2.740;-1.943;
-2.073;-2.154;
-2.315;-2.065;
-1.980;-2.245;
-2.217;-2.885;
-2.135;-2.039;
-2.420;-2.405;
-2.249;-2.033;
-2.208;-1.991;
-1.870;-2.211;
-2.673;-2.418;
-2.385;-2.139;
-2.368;-1.971;
-2.137;-2.254;
-2.440;-2.006;
-2.226;-2.047;
-2.116;-3.415;
-2.102;-2.036;
-2.279;-2.317;
-2.569;-2.463;
-2.409;-2.266;
-2.815;-2.257;
-2.966;-2.204;
-2.025;-2.177;
-2.246;-2.109;
-1.925;-2.946;
-2.431;-2.226;
-2.194;-2.148;
-2.422;-2.549;
-2.030;-2.664;
-2.144;-2.243;
-2.498;-2.602;
-2.386;-1.906;
-2.403;-2.580;
-1.967;-1.872;
-1.934;-2.115;
-2.220;-1.938;
-1.781;-2.058;
-2.311;-2.090;
-2.702;-2.316;
-2.158;-2.528;
-2.673;-2.754;
-2.214;-2.273;
-2.248;-2.631;
-2.082;-1.997;
-2.054;-2.378;
-2.172;-2.264;
-2.141;-2.349;
-2.344;-2.343;
-1.995;-2.094;
-2.234;-1.904;
-2.242;-2.389;
-2.439;-2.078;
-1.975;-1.967;
-2.063;-2.350;
-2.117;-2.299;
-2.002;-2.262;
-1.799;-2.123;
-2.620;-2.172;
-2.375;-2.187;
-2.199;-1.847;
-2.137;-2.088;
-2.359;-2.171;
-2.010;-1.835;
-1.978;-2.187;
-2.259;-2.151;
-2.107;-2.410;
-2.084;-2.875;
-2.339;-2.067;
-2.282;-2.135;
-2.116;-2.322;
-2.386;-2.046;
-1.863;-2.178;
-1.787;-2.389;
-2.271;-2.133;
-2.090;-2.177;
-2.376;-1.937;
-2.102;-2.294;
-2.270;-2.386;
-2.450;-2.092;
-2.559;-2.470;
-2.254;-2.139;
-1.802;-2.478;
-2.521;-2.243;
-2.519;-2.994;
-2.312;-2.039;
-2.177;-2.232;
-1.906;-1.925;
-2.135;-2.129;
-2.397;-1.861;
-2.156;-1.878;
-2.536;-2.024;
-2.772;-2.326;
-2.014;-2.103;
-2.040;-2.543;
-2.454;-2.260;
-1.993;-2.062;
-1.996;-2.081;
-2.106;-2.067;
-2.436;-2.283;
-2.056;-2.112;
-2.709;-2.082;
-1.989;-1.883;
-2.440;-2.513;
-2.217;-2.437;
-2.833;-2.145;
-2.166;-2.371;
-2.437;-2.455;
-2.381;-2.160;
-2.266;-2.175;
-2.507;-2.336;
-2.011;-2.033;
-2.371;-2.262;
-1.938;-1.815;
-2.097;-1.960;
-2.442;-2.119;
-2.143;-2.186;
-2.417;-2.126;
-2.438;-2.304;
-1.964;-1.888;
-2.398;-2.472;
-2.141;-2.281;
-2.274;-3.159;
-2.128;-2.282;
-2.367;-2.399;
-1.824;-1.891;
-2.457;-2.320;
-1.981;-2.250;
-2.332;-2.170;
-1.887;-2.397;
-2.334;-2.302;
-1.987;-2.088;
-1.917;-1.972;
-2.979;-2.042;
-2.187;-2.222;
-2.022;-2.369;
-2.326;-2.518;
