[Item(weight=1, value=2), Item(weight=1, value=2), Item(weight=1, value=1)] 2 niter: 10
BH_WFQAOA;BH_HQAOA
-2.201;-2.720;
-1.837;-1.661;
-2.155;-1.700;
-1.955;-1.979;
-1.958;-1.913;
-1.578;-1.829;
-2.251;-2.028;
-2.094;-2.427;
-2.171;-1.944;
-1.773;-2.034;
-1.881;-1.684;
-1.814;-1.726;
-1.933;-1.971;
-1.971;-1.757;
-1.775;-2.009;
-2.181;-1.683;
-1.866;-2.211;
-1.721;-1.491;
-2.148;-1.881;
-1.918;-1.847;
-1.799;-1.524;
-1.774;-1.970;
-2.384;-2.321;
-2.127;-2.456;
-2.166;-2.585;
-1.794;-1.616;
-1.649;-2.981;
-2.060;-1.841;
-1.819;-1.675;
-2.350;-2.745;
-2.027;-1.757;
-1.831;-1.756;
-2.345;-1.981;
-1.992;-2.061;
-2.104;-2.101;
-2.173;-2.241;
-2.012;-2.116;
-2.161;-2.251;
-2.027;-1.650;
-1.921;-1.642;
-1.903;-2.043;
-2.084;-1.414;
-1.835;-1.776;
-2.111;-2.118;
-1.863;-1.782;
-1.982;-2.002;
-1.734;-1.854;
-1.782;-1.776;
-1.753;-2.017;
-2.088;-1.669;
-2.130;-1.980;
-1.634;-1.500;
-2.746;-2.230;
-2.187;-1.674;
-2.445;-2.029;
-1.842;-2.139;
-2.231;-1.628;
-1.617;-1.285;
-1.958;-1.999;
-1.961;-2.198;
-1.913;-1.860;
-2.233;-1.635;
-1.849;-1.399;
-2.154;-1.653;
-2.338;-2.205;
-1.780;-2.124;
-1.877;-1.621;
-2.039;-2.631;
-1.445;-1.783;
-1.901;-1.916;
-1.428;-1.677;
-2.711;-1.971;
-1.686;-1.684;
-2.057;-1.866;
-2.393;-1.951;
-1.525;-1.768;
-1.689;-1.901;
-1.600;-2.064;
-1.868;-2.223;
-1.687;-1.842;
-1.686;-1.627;
-1.685;-1.689;
-1.805;-1.829;
-1.872;-2.347;
-2.109;-1.993;
-1.495;-1.791;
-1.542;-1.760;
-1.825;-2.091;
-2.110;-1.608;
-1.852;-1.979;
-1.856;-2.087;
-2.165;-2.311;
-1.523;-1.670;
-1.764;-1.935;
-1.993;-1.749;
-2.032;-1.802;
-2.245;-2.012;
-2.081;-2.101;
-2.167;-2.720;
-1.955;-1.647;
-2.442;-1.628;
-1.680;-1.700;
-2.047;-2.162;
-1.981;-1.447;
-1.906;-1.586;
-1.948;-1.744;
-2.052;-1.771;
-1.973;-1.688;
-1.708;-2.156;
-1.968;-2.897;
-1.721;-1.576;
-2.413;-1.625;
-2.122;-1.687;
-1.833;-1.426;
-2.016;-1.951;
-1.794;-1.718;
-1.650;-1.654;
-1.954;-1.702;
-1.741;-1.967;
-2.222;-1.941;
-2.097;-2.017;
-1.906;-1.867;
-1.711;-2.111;
-1.655;-1.848;
-1.744;-1.859;
-2.133;-2.251;
-2.318;-1.887;
-1.687;-2.258;
-1.671;-1.279;
-2.430;-2.158;
-1.734;-1.899;
-1.818;-2.155;
-1.852;-1.990;
-1.813;-2.610;
-1.614;-1.653;
-1.826;-1.754;
-1.846;-1.624;
-2.067;-1.898;
-1.905;-2.508;
-1.791;-2.110;
-1.692;-1.940;
-1.518;-2.137;
-1.899;-2.235;
-2.097;-1.883;
-1.799;-2.027;
-2.333;-1.611;
-2.063;-2.002;
-2.029;-1.878;
-1.839;-1.767;
-1.685;-1.969;
-1.942;-2.307;
-1.860;-1.993;
-1.825;-2.182;
-1.616;-2.020;
-1.899;-1.902;
-2.211;-2.752;
-2.232;-1.706;
