[Item(weight=1, value=2), Item(weight=1, value=2), Item(weight=1, value=1)] 2 niter: 100
BH_WFQAOA;BH_HQAOA
-2.087;-2.611;
-2.132;-2.250;
-2.261;-1.856;
-2.482;-2.185;
-1.955;-2.193;
-2.450;-2.026;
-2.885;-2.272;
-2.136;-2.380;
-1.941;-2.477;
-2.555;-2.509;
-2.303;-2.774;
-2.181;-2.667;
-2.429;-2.592;
-2.188;-2.822;
-2.049;-2.159;
-2.509;-2.296;
-2.405;-2.029;
-1.990;-2.120;
-2.097;-2.503;
-2.167;-2.073;
-2.072;-2.856;
-2.468;-2.005;
-2.251;-2.062;
-1.994;-2.632;
-2.029;-2.267;
-2.271;-2.556;
-2.299;-2.062;
-2.068;-2.141;
-2.295;-2.167;
-2.128;-2.067;
-2.068;-2.275;
-2.273;-2.071;
-2.478;-2.489;
-2.019;-2.328;
-2.248;-2.273;
-2.336;-2.305;
-2.500;-2.341;
-2.116;-2.327;
-2.760;-2.124;
-2.368;-2.333;
-2.276;-2.437;
-2.633;-2.382;
-1.943;-2.561;
-2.275;-2.272;
-2.608;-2.555;
-2.052;-2.115;
-2.069;-2.340;
-2.001;-2.239;
-1.950;-2.282;
-2.109;-2.068;
-2.176;-2.495;
-2.312;-2.151;
-2.138;-1.953;
-2.447;-2.133;
-2.437;-2.264;
-2.167;-2.094;
-2.088;-2.145;
-2.554;-2.281;
-1.891;-2.424;
-2.191;-2.682;
-2.587;-2.261;
-2.195;-2.881;
-2.240;-2.686;
-2.249;-2.525;
-2.171;-2.448;
-2.207;-2.411;
-2.154;-2.304;
-2.014;-2.855;
-2.847;-2.204;
-2.272;-2.150;
-2.004;-2.543;
-2.171;-2.404;
-2.432;-2.048;
-1.926;-2.428;
-2.100;-2.090;
-2.172;-2.123;
-2.221;-2.629;
-2.486;-2.560;
-2.501;-2.212;
-2.066;-2.004;
-2.127;-2.312;
-2.675;-2.154;
-2.021;-2.014;
-2.433;-2.286;
-2.042;-2.216;
-2.334;-2.221;
-2.205;-2.883;
-2.146;-2.669;
-2.614;-2.122;
-2.483;-2.292;
-2.162;-2.351;
-2.010;-2.094;
-2.206;-2.056;
-2.123;-2.026;
-2.454;-2.310;
-1.919;-2.345;
-2.306;-2.293;
-2.229;-2.348;
-2.150;-2.241;
-2.644;-2.235;
