[Item(weight=1, value=2), Item(weight=1, value=2), Item(weight=1, value=1)] 2 niter: 200
BH_WFQAOA;BH_HQAOA
-2.218;-2.925;
-3.087;-2.435;
-2.575;-2.313;
-2.693;-2.386;
-2.094;-3.238;
-2.453;-2.321;
-2.042;-2.610;
-2.702;-2.531;
-3.199;-2.304;
-2.558;-2.300;
-2.195;-2.255;
-2.611;-2.417;
-2.455;-2.340;
-2.624;-2.255;
-2.274;-2.534;
-2.297;-2.344;
-3.176;-2.410;
-2.367;-2.525;
-2.555;-2.715;
-2.415;-2.601;
-2.386;-2.390;
-2.409;-2.422;
-2.334;-2.312;
-2.194;-2.608;
-2.797;-2.069;
-2.794;-2.238;
-2.709;-2.263;
-2.182;-2.585;
-2.636;-2.328;
-2.326;-2.532;
-2.324;-2.280;
-2.438;-2.343;
-2.369;-2.439;
-2.211;-2.582;
-2.472;-2.547;
-2.468;-2.166;
-2.888;-2.498;
-2.262;-2.337;
-2.403;-2.494;
-2.255;-2.878;
-2.326;-2.419;
-2.300;-2.605;
-2.981;-3.080;
-2.455;-2.665;
-2.265;-2.305;
-2.338;-2.414;
-2.639;-2.217;
-2.137;-2.751;
-2.838;-2.460;
-2.526;-2.533;
