,result,prop,energy
1,000001,0.01791759730990999,25.0
9,001001,0.02816891908637519,26.0
18,010010,0.0377798491272385,27.0
26,011010,0.04163931585506693,28.0
38,100110,0.040356139064902596,28.0
29,011101,0.029190600358342433,29.0
5,000101,0.027741876336683978,30.0
33,100001,0.035247639233445704,31.0
42,101010,0.03782581018963718,32.0
22,010110,0.043680190329105445,32.0
20,010100,0.01792983847566003,36.0
6,000110,0.03148926764039686,38.0
34,100010,0.03617783699279351,39.0
41,101001,0.0398023569642165,40.0
24,011000,0.019003634479752028,48.0
45,101101,0.02702175091288326,49.0
10,001010,0.031171458547925218,50.0
17,010001,0.03523595272552446,51.0
37,100101,0.04120468058734979,52.0
16,010000,0.008165431260796165,63.0
36,100100,0.020249289823685037,64.0
2,000010,0.021410862524530686,65.0
25,011001,0.04168096112224835,68.0
13,001101,0.01803523989315452,83.0
40,101000,0.02107751551702719,84.0
30,011110,0.02639339928080511,85.0
21,010101,0.04252525102186496,88.0
4,000100,0.0033346237233206756,106.0
32,100000,0.0097307390119913,107.0
8,001000,0.0037357036392227845,134.0
46,101110,0.023106400925958632,137.0
0,000000,0.001144277233568253,165.0
53,110101,0.015983745134687297,166.0
28,011100,0.010086863060936802,201.0
57,111001,0.014756872476998948,202.0
14,001110,0.018067039670804117,203.0
49,110001,0.012435330470142227,241.0
44,101100,0.010716916347222348,285.0
54,110110,0.01201139133053039,334.0
12,001100,0.0016532671323209783,383.0
58,111010,0.010696471324633442,386.0
50,110010,0.00974356473967135,441.0
61,111101,0.007121174278844053,499.0
52,110100,0.004113824259064218,562.0
56,111000,0.0040452660828913375,630.0
48,110000,0.0017093892283861552,701.0
62,111110,0.004526162324219042,779.0
23,010111,5.505999061753364e-05,1028.0
60,111100,0.0015378399561096529,1119.0
27,011011,4.1987660226980376e-05,1120.0
19,010011,6.557920129674571e-05,1215.0
39,100111,0.00013065477929477692,1216.0
43,101011,0.00020988857328150802,1316.0
7,000111,0.00012142545860814668,1418.0
35,100011,0.000118855784514316,1419.0
11,001011,0.0001404180625155817,1526.0
3,000011,0.00010303543016113115,1637.0
31,011111,6.19320602381776e-05,1753.0
47,101111,0.00013134352272230166,1997.0
15,001111,0.00010838087397221577,2255.0
55,110111,6.061527983299012e-06,2674.0
59,111011,6.459572504147722e-07,2822.0
51,110011,2.4996017787223747e-05,2973.0
63,111111,0.000300208086667597,3791.0
