,result,prop,energy
1,000001,0.015168560427804519,25.0
9,001001,0.015138634179247759,26.0
18,010010,0.015193466788992308,27.0
26,011010,0.01523628717048582,28.0
38,100110,0.015242848948396353,28.0
29,011101,0.015350970770299155,29.0
5,000101,0.015148723882787827,30.0
33,100001,0.015180142537227928,31.0
42,101010,0.015273880443040467,32.0
22,010110,0.015211008673671712,32.0
20,010100,0.015313902248811883,36.0
6,000110,0.015135692022639228,38.0
34,100010,0.015207898703072978,39.0
41,101001,0.015207001324138388,40.0
24,011000,0.015330329585314788,48.0
45,101101,0.015328581141469901,49.0
10,001010,0.015146839711755114,50.0
17,010001,0.015212219452155739,51.0
37,100101,0.015196421526102814,52.0
16,010000,0.015395421674822501,63.0
36,100100,0.015337239248010111,64.0
2,000010,0.015136167799618258,65.0
25,011001,0.01521604005643748,68.0
13,001101,0.015211857603163199,83.0
40,101000,0.015363451080174716,84.0
30,011110,0.015411600676417593,85.0
21,010101,0.015208352583295181,88.0
4,000100,0.015447737910544747,106.0
32,100000,0.015403113571791598,107.0
8,001000,0.01545181459488201,134.0
46,101110,0.01544634780347572,137.0
0,000000,0.015547470116304855,165.0
53,110101,0.015464222376198199,166.0
28,011100,0.015583542162831183,201.0
57,111001,0.01545322573158836,202.0
14,001110,0.015274381457443144,203.0
49,110001,0.015359686842411775,241.0
44,101100,0.015635430829008683,285.0
54,110110,0.015618100064561139,334.0
12,001100,0.01567139078374977,383.0
58,111010,0.01563576112347101,386.0
50,110010,0.01550235824452647,441.0
61,111101,0.015325097498447626,499.0
52,110100,0.015964125992677176,562.0
56,111000,0.016003653250160604,630.0
48,110000,0.015971565417443535,701.0
62,111110,0.015582930586616764,779.0
23,010111,0.016504827795160507,1028.0
60,111100,0.01620779158544766,1119.0
27,011011,0.016517063435975834,1120.0
19,010011,0.016369790137537452,1215.0
39,100111,0.01657307187811751,1216.0
43,101011,0.016595690712228228,1316.0
7,000111,0.016423551948792147,1418.0
35,100011,0.016429660597214676,1419.0
11,001011,0.016439661130743313,1526.0
3,000011,0.016339885106991983,1637.0
31,011111,0.016302988468519384,1753.0
47,101111,0.016385238760640564,1997.0
15,001111,0.01628412719593752,2255.0
55,110111,0.016118155107741592,2674.0
59,111011,0.016117831612060478,2822.0
51,110011,0.01595736554480202,2973.0
63,111111,0.015587802364587084,3791.0
