,result,prop,energy
1,000001,0.09735037463894408,25.0
9,001001,0.0031447214993548505,26.0
18,010010,0.003275296917099905,27.0
26,011010,0.026844561020511075,28.0
38,100110,0.033539875783894356,28.0
29,011101,0.026733111663520805,29.0
5,000101,0.01983858860391707,30.0
33,100001,0.007239454047603983,31.0
42,101010,0.002840426290557194,32.0
22,010110,0.002960949167547168,32.0
20,010100,0.009541883657690927,36.0
6,000110,0.011759771933970466,38.0
34,100010,0.00581004612451635,39.0
41,101001,0.015175142543893228,40.0
24,011000,0.021252392334690624,48.0
45,101101,0.0007069512680948003,49.0
10,001010,0.00667750854205182,50.0
17,010001,0.012393886815957707,51.0
37,100101,0.021492869969892494,52.0
16,010000,0.034157137858010805,63.0
36,100100,0.004769639895800384,64.0
2,000010,0.010867269288860348,65.0
25,011001,0.06353980029458622,68.0
13,001101,0.027665362944850988,83.0
40,101000,0.0031454021753987214,84.0
30,011110,0.0011644072966139447,85.0
21,010101,0.0006709156258341888,88.0
4,000100,0.01813167973078684,106.0
32,100000,0.09092125471006401,107.0
8,001000,0.00506052016991012,134.0
46,101110,0.016650352930824158,137.0
0,000000,0.03403749175441145,165.0
53,110101,0.009954780836568904,166.0
28,011100,0.02006329974945885,201.0
57,111001,0.02107454403058835,202.0
14,001110,0.00510525340443387,203.0
49,110001,0.007455348323820139,241.0
44,101100,0.03033327147139231,285.0
54,110110,0.05377958637043652,334.0
12,001100,0.008022966668716462,383.0
58,111010,0.008729765414693665,386.0
50,110010,0.0007188663590765718,441.0
61,111101,0.01295227331443758,499.0
52,110100,0.01006812361091472,562.0
56,111000,0.020428815415915735,630.0
48,110000,0.023101665080973978,701.0
62,111110,0.05366037339023728,779.0
23,010111,0.00023663287061979598,1028.0
60,111100,0.0006915575728077261,1119.0
27,011011,0.0031790185650920127,1120.0
19,010011,0.0015103295414172076,1215.0
39,100111,0.011106113611058833,1216.0
43,101011,0.0008292519479407138,1316.0
7,000111,0.003312345315405066,1418.0
35,100011,0.017755898150795042,1419.0
11,001011,0.008283007651431376,1526.0
3,000011,0.005386317246471704,1637.0
31,011111,0.003855123889231166,1753.0
47,101111,0.00047308830299547483,1997.0
15,001111,0.007067876723008263,2255.0
55,110111,0.00426923290337341,2674.0
59,111011,0.0012661862954287694,2822.0
51,110011,0.00501877510790193,2973.0
63,111111,0.0009512633636777612,3791.0
