,result,prop,energy
1,000001,0.23510084912683027,25.0
9,001001,0.00490121771624819,26.0
18,010010,0.007134046245815715,27.0
26,011010,0.03852759395086054,28.0
38,100110,0.03696748850945225,28.0
29,011101,0.02815012224094659,29.0
5,000101,0.025544513955630902,30.0
33,100001,0.049856926952755974,31.0
42,101010,0.008581098387165411,32.0
22,010110,0.00304955527423377,32.0
20,010100,0.034457771645619466,36.0
6,000110,0.005445162005380281,38.0
34,100010,0.017549138116442358,39.0
41,101001,0.0030207750801438836,40.0
24,011000,0.03349902117952957,48.0
45,101101,0.0072329168636102795,49.0
10,001010,0.008958367930519035,50.0
17,010001,0.03704043043563876,51.0
37,100101,0.011308911051459368,52.0
16,010000,0.011768889004246615,63.0
36,100100,0.0010355015368624864,64.0
2,000010,0.039584882554415286,65.0
25,011001,0.006340903481078705,68.0
13,001101,0.003459258203320109,83.0
40,101000,0.0007367959748992467,84.0
30,011110,0.011622982475978077,85.0
21,010101,0.0013146648161122749,88.0
4,000100,0.009075520798931095,106.0
32,100000,0.003470335634469133,107.0
8,001000,0.006523024301291132,134.0
46,101110,0.005531830784864422,137.0
0,000000,0.007534906775846144,165.0
53,110101,0.052919333003332514,166.0
28,011100,0.004122901759007993,201.0
57,111001,0.02822675020975988,202.0
14,001110,0.010484833987782884,203.0
49,110001,0.006302349135672762,241.0
44,101100,0.0007078302312975172,285.0
54,110110,0.0023417218832801666,334.0
12,001100,0.0001774158776011369,383.0
58,111010,0.026927974025128656,386.0
50,110010,0.018414957837874377,441.0
61,111101,0.024673875171757502,499.0
52,110100,0.011296130153119888,562.0
56,111000,0.010319864879969897,630.0
48,110000,0.0004122557521626705,701.0
62,111110,0.008072825550369877,779.0
23,010111,0.006969317702057998,1028.0
60,111100,0.0006927816946494593,1119.0
27,011011,0.004206025777399121,1120.0
19,010011,0.007765943848319331,1215.0
39,100111,0.010581643450589219,1216.0
43,101011,0.0030794991739127625,1316.0
7,000111,0.015514201290442882,1418.0
35,100011,0.00046541259424436455,1419.0
11,001011,0.0069544308168050205,1526.0
3,000011,0.0010116830964922113,1637.0
31,011111,0.01687205132861747,1753.0
47,101111,0.006435148091199836,1997.0
15,001111,0.0017830616950892833,2255.0
55,110111,0.0017409479980075786,2674.0
59,111011,0.005428183361880072,2822.0
51,110011,0.0007187763798068591,2973.0
63,111111,5.446923175771669e-05,3791.0
