,result,prop,energy
1,000001,0.02901158190880154,25.0
9,001001,0.032194359240278726,26.0
18,010010,0.031538120096354386,27.0
26,011010,0.023816673396289536,28.0
38,100110,0.022863235953212255,28.0
29,011101,0.016679479141654872,29.0
5,000101,0.03332374308775689,30.0
33,100001,0.029003445855708274,31.0
42,101010,0.02019385014341672,32.0
22,010110,0.026463975611898897,32.0
20,010100,0.03515294372631168,36.0
6,000110,0.03622231820708723,38.0
34,100010,0.0292927072894456,39.0
41,101001,0.02229313938037999,40.0
24,011000,0.0351375312459425,48.0
45,101101,0.014696377374733243,49.0
10,001010,0.03470002644696902,50.0
17,010001,0.030739689753116216,51.0
37,100101,0.02476892896505586,52.0
16,010000,0.025471508074262152,63.0
36,100100,0.03690373146036665,64.0
2,000010,0.03310084938672554,65.0
25,011001,0.025623057468623922,68.0
13,001101,0.01845679194169776,83.0
40,101000,0.0366029932199746,84.0
30,011110,0.01562674341190874,85.0
21,010101,0.0280047286609532,88.0
4,000100,0.020598074456935535,106.0
32,100000,0.027666205743301128,107.0
8,001000,0.02100614492150886,134.0
46,101110,0.01335624692566274,137.0
0,000000,0.014136638128080525,165.0
53,110101,0.008235010200435215,166.0
28,011100,0.01869415879402052,201.0
57,111001,0.007675134763779826,202.0
14,001110,0.019974905312103226,203.0
49,110001,0.008097078512639683,241.0
44,101100,0.01952418885801054,285.0
54,110110,0.00734310283011279,334.0
12,001100,0.0093611063936062,383.0
58,111010,0.006656336086252812,386.0
50,110010,0.007860410130853875,441.0
61,111101,0.005665256724859111,499.0
52,110100,0.00747796527638652,562.0
56,111000,0.007373869454668125,630.0
48,110000,0.004770435034470775,701.0
62,111110,0.0047128114519799464,779.0
23,010111,4.947343466209851e-05,1028.0
60,111100,0.003419672399726853,1119.0
27,011011,1.4844706122604885e-05,1120.0
19,010011,0.00042671234576560646,1215.0
39,100111,3.9204590814813125e-08,1216.0
43,101011,1.4587365249206258e-05,1316.0
7,000111,0.0015574398616000572,1418.0
35,100011,0.0003036101565625855,1419.0
11,001011,0.0012999730531031682,1526.0
3,000011,0.0023306907311351896,1637.0
31,011111,5.8355719616234494e-05,1753.0
47,101111,8.575667598787125e-05,1997.0
15,001111,0.00021079771451905642,2255.0
55,110111,0.0004624288430423738,2674.0
59,111011,0.0005108814777212243,2822.0
51,110011,0.0003813783903005301,2973.0
63,111111,0.000805747471683469,3791.0
