,result,prop,energy
1,000001,0.09822593532720685,25.0
9,001001,0.0028443114911598758,26.0
18,010010,0.0032494289291653024,27.0
26,011010,0.027135006146231287,28.0
38,100110,0.03305111030507885,28.0
29,011101,0.026568777536794985,29.0
5,000101,0.01953020912020024,30.0
33,100001,0.007658209825686303,31.0
42,101010,0.0030466783131825703,32.0
22,010110,0.002552672043049222,32.0
20,010100,0.009325456129300603,36.0
6,000110,0.01134748430973942,38.0
34,100010,0.005325381259027926,39.0
41,101001,0.014937036217713036,40.0
24,011000,0.02153673040300639,48.0
45,101101,0.0007497074076852871,49.0
10,001010,0.006891595918453625,50.0
17,010001,0.01161249114574386,51.0
37,100101,0.02067937789196386,52.0
16,010000,0.03408753113661716,63.0
36,100100,0.005164493706463838,64.0
2,000010,0.011090617335044925,65.0
25,011001,0.06400736032146531,68.0
13,001101,0.028007204109393648,83.0
40,101000,0.003305471164157127,84.0
30,011110,0.0010858790033560994,85.0
21,010101,0.0006857603952596976,88.0
4,000100,0.01926598156150821,106.0
32,100000,0.09106704160986422,107.0
8,001000,0.005004191231173456,134.0
46,101110,0.015943849696668507,137.0
0,000000,0.03320170380323956,165.0
53,110101,0.00991857500098098,166.0
28,011100,0.020065044668047496,201.0
57,111001,0.019466814784677627,202.0
14,001110,0.0048898033545716965,203.0
49,110001,0.007618139671115661,241.0
44,101100,0.0310046702533671,285.0
54,110110,0.05437836364433577,334.0
12,001100,0.008320840916890542,383.0
58,111010,0.00934583958210246,386.0
50,110010,0.000725050529662916,441.0
61,111101,0.013313354910795036,499.0
52,110100,0.010298768680024079,562.0
56,111000,0.020558655566665335,630.0
48,110000,0.022664976437126463,701.0
62,111110,0.05320589723312005,779.0
23,010111,0.00025345772971043575,1028.0
60,111100,0.0005924295393359083,1119.0
27,011011,0.003252856677972247,1120.0
19,010011,0.0015247211304774036,1215.0
39,100111,0.011400323057412183,1216.0
43,101011,0.0009619157477280807,1316.0
7,000111,0.0033167496860117517,1418.0
35,100011,0.017973692729523063,1419.0
11,001011,0.008421520659706241,1526.0
3,000011,0.0051645648806193075,1637.0
31,011111,0.003960208894616987,1753.0
47,101111,0.00048403348548736107,1997.0
15,001111,0.00697354362779821,2255.0
55,110111,0.004318547440093538,2674.0
59,111011,0.0012071986704951384,2822.0
51,110011,0.005256748047400854,2973.0
63,111111,0.0009780079675127788,3791.0
