,result,prop,energy
1,000001,0.1013649602452633,25.0
9,001001,0.00041626042331701285,26.0
18,010010,0.0037114289794356833,27.0
26,011010,0.02872287413072492,28.0
38,100110,0.021965899426087086,28.0
29,011101,0.025365062308921774,29.0
5,000101,0.01798007147304195,30.0
33,100001,0.01210044456316926,31.0
42,101010,0.004892080931136788,32.0
22,010110,0.00015360875286604084,32.0
20,010100,0.0065680090626093965,36.0
6,000110,0.006676872128984839,38.0
34,100010,0.0021596305993896716,39.0
41,101001,0.016499683010523427,40.0
24,011000,0.029681720569449337,48.0
45,101101,0.001022904225371044,49.0
10,001010,0.008133283487128072,50.0
17,010001,0.005585229609234528,51.0
37,100101,0.013938611665924826,52.0
16,010000,0.03153750878013581,63.0
36,100100,0.011226905047830275,64.0
2,000010,0.012813670827093362,65.0
25,011001,0.05984899010650657,68.0
13,001101,0.034955469223155525,83.0
40,101000,0.009140927684100368,84.0
30,011110,0.00047929785125674327,85.0
21,010101,0.0018963508129902756,88.0
4,000100,0.03124020423319022,106.0
32,100000,0.0957497370331833,107.0
8,001000,0.004324953623673366,134.0
46,101110,0.014065599704537203,137.0
0,000000,0.02417510987860751,165.0
53,110101,0.010920544686008594,166.0
28,011100,0.018557198630649564,201.0
57,111001,0.007017065343595909,202.0
14,001110,0.0028700313519171216,203.0
49,110001,0.006713588127874054,241.0
44,101100,0.03264119021432135,285.0
54,110110,0.05635016764969317,334.0
12,001100,0.009387735114052803,383.0
58,111010,0.013838936612735053,386.0
50,110010,0.0020878452684740174,441.0
61,111101,0.017059407390906025,499.0
52,110100,0.012010534544776047,562.0
56,111000,0.0210915657768078,630.0
48,110000,0.01565579553856057,701.0
62,111110,0.04793943886823656,779.0
23,010111,0.0006408388787112165,1028.0
60,111100,0.0005650984956840477,1119.0
27,011011,0.0014971637642931517,1120.0
19,010011,0.002335127345517965,1215.0
39,100111,0.01570210039509049,1216.0
43,101011,0.003330355724871468,1316.0
7,000111,0.004697914060431354,1418.0
35,100011,0.01677048759932035,1419.0
11,001011,0.009253194288562031,1526.0
3,000011,0.0050299865924570905,1637.0
31,011111,0.005493998731078667,1753.0
47,101111,0.00023225906668239345,1997.0
15,001111,0.005676185324992297,2255.0
55,110111,0.0062271559607870374,2674.0
59,111011,0.0006362724028619084,2822.0
51,110011,0.008090866003007461,2973.0
63,111111,0.001286589848188703,3791.0
