,result,prop,energy
1,000001,0.029303750907371896,25.0
9,001001,0.024849401745417422,26.0
18,010010,0.02014784341606165,27.0
26,011010,0.014974360280697539,28.0
38,100110,0.01423832490290414,28.0
29,011101,0.011056641363012766,29.0
5,000101,0.02657720661911476,30.0
33,100001,0.01876096321119863,31.0
42,101010,0.012793348962248787,32.0
22,010110,0.01651785332618093,32.0
20,010100,0.04517992104057509,36.0
6,000110,0.02628016402205601,38.0
34,100010,0.01778050501972289,39.0
41,101001,0.014083310384263144,40.0
24,011000,0.04310077200938331,48.0
45,101101,0.00952916811469211,49.0
10,001010,0.02432856875890165,50.0
17,010001,0.020854237887589555,51.0
37,100101,0.015516564713524795,52.0
16,010000,0.044702128716202494,63.0
36,100100,0.04296225414162001,64.0
2,000010,0.029418497192755605,65.0
25,011001,0.016193046561368298,68.0
13,001101,0.01635449841122381,83.0
40,101000,0.040692863472657416,84.0
30,011110,0.01004917590107342,85.0
21,010101,0.017676142325819186,88.0
4,000100,0.04827975982624331,106.0
32,100000,0.04304276739993674,107.0
8,001000,0.04680294284434052,134.0
46,101110,0.008448962838756426,137.0
0,000000,0.04379354825762495,165.0
53,110101,0.005948004796507946,166.0
28,011100,0.027122950109890187,201.0
57,111001,0.005413771246351754,202.0
14,001110,0.015485923268491478,203.0
49,110001,0.006869566091585304,241.0
44,101100,0.024963697578882733,285.0
54,110110,0.0049848904654762344,334.0
12,001100,0.029182760080321443,383.0
58,111010,0.004421079874481532,386.0
50,110010,0.005833370702557093,441.0
61,111101,0.004014457217113586,499.0
52,110100,0.012879953381900029,562.0
56,111000,0.011743651347292251,630.0
48,110000,0.013236545030015453,701.0
62,111110,0.0028908009311796497,779.0
23,010111,8.357239749910822e-06,1028.0
60,111100,0.006360876432742513,1119.0
27,011011,1.3855644095245747e-05,1120.0
19,010011,6.800269475737833e-05,1215.0
39,100111,2.8311511914177606e-05,1216.0
43,101011,7.088060729940388e-05,1316.0
7,000111,0.0004739021093192246,1418.0
35,100011,4.223430105425942e-05,1419.0
11,001011,0.00036176591965594954,1526.0
3,000011,0.001066385051804769,1637.0
31,011111,9.449318428170228e-05,1753.0
47,101111,0.00020977416856920113,1997.0
15,001111,7.476558185007275e-05,2255.0
55,110111,0.00042126158019420787,2674.0
59,111011,0.0005044422064851651,2822.0
51,110011,0.00030525748944310906,2973.0
63,111111,0.0006145175801881707,3791.0
