,result,prop,energy
1,000001,0.027039359108119304,25.0
9,001001,0.03262440156960046,26.0
18,010010,0.03358970823482087,27.0
26,011010,0.02638140811142617,28.0
38,100110,0.025302205069067475,28.0
29,011101,0.017971112288970546,29.0
5,000101,0.033468239895956355,30.0
33,100001,0.031021707999770633,31.0
42,101010,0.02231700780332755,32.0
22,010110,0.02930852167644541,32.0
20,010100,0.03244905298460971,36.0
6,000110,0.036900638118009435,38.0
34,100010,0.03143831675155166,39.0
41,101001,0.024903151362094818,40.0
24,011000,0.03287394110535039,48.0
45,101101,0.01587250915149429,49.0
10,001010,0.03563622990241207,50.0
17,010001,0.0326036110415252,51.0
37,100101,0.0276576635420513,52.0
16,010000,0.021538960540699845,63.0
36,100100,0.03486431111472779,64.0
2,000010,0.03168104588434362,65.0
25,011001,0.02862486538244252,68.0
13,001101,0.018089316063332975,83.0
40,101000,0.03502905917348785,84.0
30,011110,0.01679327347203164,85.0
21,010101,0.03123775179134075,88.0
4,000100,0.01671075580864883,106.0
32,100000,0.02398656415453073,107.0
8,001000,0.017103612898287303,134.0
46,101110,0.014366397231706992,137.0
0,000000,0.011795165162035931,165.0
53,110101,0.008562620256828178,166.0
28,011100,0.016880642255626785,201.0
57,111001,0.007997537900258714,202.0
14,001110,0.01999902334300165,203.0
49,110001,0.008076168038398002,241.0
44,101100,0.018120113010896118,285.0
54,110110,0.007672441662977075,334.0
12,001100,0.007293496656635043,383.0
58,111010,0.006965054519483921,386.0
50,110010,0.007998607001992564,441.0
61,111101,0.0057482521790821264,499.0
52,110100,0.0066171581644073755,562.0
56,111000,0.006649919623633064,630.0
48,110000,0.003778776666583651,701.0
62,111110,0.004865693397861418,779.0
23,010111,3.822633297488486e-05,1028.0
60,111100,0.00302185985369651,1119.0
27,011011,7.882630614925215e-06,1120.0
19,010011,0.0004537956384368143,1215.0
39,100111,8.484379241398133e-07,1216.0
43,101011,1.8980325622719087e-05,1316.0
7,000111,0.0016344193706118288,1418.0
35,100011,0.0003390955859615555,1419.0
11,001011,0.0013834544779675322,1526.0
3,000011,0.0023037504180443012,1637.0
31,011111,5.394729603341337e-05,1753.0
47,101111,7.524887847578046e-05,1997.0
15,001111,0.00022387187644756348,2255.0
55,110111,0.0004390324109631901,2674.0
59,111011,0.0004753314795510347,2822.0
51,110011,0.00036358077468440697,2973.0
63,111111,0.0007613051400867788,3791.0
