,result,prop,energy
1,000001,0.030596003424985935,25.0
9,001001,0.031259858545190373,26.0
18,010010,0.029180817688088313,27.0
26,011010,0.0213349479220925,28.0
38,100110,0.02050410247644894,28.0
29,011101,0.015401055682725956,29.0
5,000101,0.032626845849735756,30.0
33,100001,0.026751609917618328,31.0
42,101010,0.01816778666011075,32.0
22,010110,0.02367540471160297,32.0
20,010100,0.03750746510061876,36.0
6,000110,0.03492663950528129,38.0
34,100010,0.026908654286680257,39.0
41,101001,0.019818319780174478,40.0
24,011000,0.037017359173090146,48.0
45,101101,0.013552443884697311,49.0
10,001010,0.03320430422809943,50.0
17,010001,0.028577201805364515,51.0
37,100101,0.02199534304340427,52.0
16,010000,0.02976500252502052,63.0
36,100100,0.0384949897443683,64.0
2,000010,0.03397403097804145,65.0
25,011001,0.02273788346526666,68.0
13,001101,0.018623735664405415,83.0
40,101000,0.03771756643379711,84.0
30,011110,0.01447460032670554,85.0
21,010101,0.024858522481284034,88.0
4,000100,0.025734034299715238,106.0
32,100000,0.03147569560129693,107.0
8,001000,0.02598598261576463,134.0
46,101110,0.012377525280597192,137.0
0,000000,0.01814333507346906,165.0
53,110101,0.007939721782328768,166.0
28,011100,0.02047642047220287,201.0
57,111001,0.007385601400801642,202.0
14,001110,0.019692538608768566,203.0
49,110001,0.008118014917238046,241.0
44,101100,0.020807316256443005,285.0
54,110110,0.007047909558540795,334.0
12,001100,0.012219304222612918,383.0
58,111010,0.006381232485836769,386.0
50,110010,0.007710846006617936,441.0
61,111101,0.005588999612184746,499.0
52,110100,0.008392090045162217,562.0
56,111000,0.00812345600754219,630.0
48,110000,0.005944875259177156,701.0
62,111110,0.0045571695276054565,779.0
23,010111,7.883682431788275e-05,1028.0
60,111100,0.0038270998310306697,1119.0
27,011011,3.180188171582572e-05,1120.0
19,010011,0.0004101051169460328,1215.0
39,100111,3.4981139824708666e-06,1216.0
43,101011,6.5528456903840605e-06,1316.0
7,000111,0.001460787989336668,1418.0
35,100011,0.00027307734437170844,1419.0
11,001011,0.0012008680584352893,1526.0
3,000011,0.0022850256504429204,1637.0
31,011111,6.0440186122738706e-05,1753.0
47,101111,9.297915770867703e-05,1997.0
15,001111,0.00019080328159599408,2255.0
55,110111,0.0004920051631130431,2674.0
59,111011,0.0005555777911374467,2822.0
51,110011,0.0004114426558460357,2973.0
63,111111,0.0008645337693869821,3791.0
