,result,prop,energy
1,000001,0.23540591143727474,25.0
9,001001,0.004920861014846048,26.0
18,010010,0.007136149143201145,27.0
26,011010,0.038474889917453695,28.0
38,100110,0.03704196134975312,28.0
29,011101,0.027811801285118638,29.0
5,000101,0.02566124008940425,30.0
33,100001,0.0502709477903729,31.0
42,101010,0.008564306813533444,32.0
22,010110,0.003086107019749317,32.0
20,010100,0.034523765993556874,36.0
6,000110,0.005424727387331274,38.0
34,100010,0.01739982576028301,39.0
41,101001,0.0029579180582898963,40.0
24,011000,0.033602427406005296,48.0
45,101101,0.007070895905482619,49.0
10,001010,0.009069036043747957,50.0
17,010001,0.03676790744325588,51.0
37,100101,0.01116149850384631,52.0
16,010000,0.011689062145128326,63.0
36,100100,0.0010055832727792235,64.0
2,000010,0.039335270906791245,65.0
25,011001,0.006449537460106908,68.0
13,001101,0.0034647147105290946,83.0
40,101000,0.0007360992359668609,84.0
30,011110,0.011494142208404627,85.0
21,010101,0.0012808465008776432,88.0
4,000100,0.00904347276057891,106.0
32,100000,0.0034941233807527306,107.0
8,001000,0.006637097067775866,134.0
46,101110,0.0055162479043398965,137.0
0,000000,0.007483789389560971,165.0
53,110101,0.0531430743893649,166.0
28,011100,0.004073647830668777,201.0
57,111001,0.028027965962407527,202.0
14,001110,0.010510024409413581,203.0
49,110001,0.006182459773665048,241.0
44,101100,0.0007211413770665108,285.0
54,110110,0.002382791550521099,334.0
12,001100,0.00017834248630678554,383.0
58,111010,0.02719664019524831,386.0
50,110010,0.01837661530506121,441.0
61,111101,0.024553067986311145,499.0
52,110100,0.011158772268367827,562.0
56,111000,0.01042622058387939,630.0
48,110000,0.0004275925815614235,701.0
62,111110,0.008178753147698283,779.0
23,010111,0.006956073385859108,1028.0
60,111100,0.0007090517539845791,1119.0
27,011011,0.004131797441653821,1120.0
19,010011,0.007777256606834272,1215.0
39,100111,0.010704244747819495,1216.0
43,101011,0.003135678295866572,1316.0
7,000111,0.015484696722740093,1418.0
35,100011,0.00048092350669972863,1419.0
11,001011,0.006975141985877294,1526.0
3,000011,0.001011416958627242,1637.0
31,011111,0.01697210381823829,1753.0
47,101111,0.006450481180354253,1997.0
15,001111,0.0017986657257022048,2255.0
55,110111,0.0017444158789126029,2674.0
59,111011,0.005389683289595047,2822.0
51,110011,0.000705461554360004,2973.0
63,111111,5.3631993223870434e-05,3791.0
