,result,prop,energy
1,000001,0.027681329617699736,25.0
9,001001,0.027108506846306665,26.0
18,010010,0.02513854189259477,27.0
26,011010,0.02189494628211643,28.0
38,100110,0.02100765084259438,28.0
29,011101,0.013748334612629523,29.0
5,000101,0.028554361562119775,30.0
33,100001,0.02346986802529332,31.0
42,101010,0.018989573790921702,32.0
22,010110,0.023951417846140896,32.0
20,010100,0.03939096498766988,36.0
6,000110,0.02892133906655673,38.0
34,100010,0.022569765948413985,39.0
41,101001,0.020605503440356488,40.0
24,011000,0.03816903908092972,48.0
45,101101,0.011955765179191027,49.0
10,001010,0.027087937622998274,50.0
17,010001,0.025469539121766013,51.0
37,100101,0.022454811673895795,52.0
16,010000,0.035335786984455546,63.0
36,100100,0.038435653671604356,64.0
2,000010,0.028615896797165394,65.0
25,011001,0.023143748108749793,68.0
13,001101,0.01668106393172172,83.0
40,101000,0.03690086354968316,84.0
30,011110,0.012329741348947229,85.0
21,010101,0.024956299357957564,88.0
4,000100,0.03477856209554948,106.0
32,100000,0.035118716334966674,107.0
8,001000,0.03453490364061528,134.0
46,101110,0.010333269030504723,137.0
0,000000,0.029140612975050897,165.0
53,110101,0.0060347935871611896,166.0
28,011100,0.02376668266795177,201.0
57,111001,0.005419006236531449,202.0
14,001110,0.015856142473030743,203.0
49,110001,0.006776922561463589,241.0
44,101100,0.02228228875095785,285.0
54,110110,0.004657439043636181,334.0
12,001100,0.02337788503731984,383.0
58,111010,0.004028625593369234,386.0
50,110010,0.0054864422800095,441.0
61,111101,0.003603871491814575,499.0
52,110100,0.012077948676801271,562.0
56,111000,0.011097241810109994,630.0
48,110000,0.012767380549094117,701.0
62,111110,0.002356368967614418,779.0
23,010111,0.0002277391540269642,1028.0
60,111100,0.006676887650217299,1119.0
27,011011,0.0003524045654150882,1120.0
19,010011,1.2641216868284806e-05,1215.0
39,100111,0.000510643869864543,1216.0
43,101011,0.0006852210055984488,1316.0
7,000111,0.0003690111765931121,1418.0
35,100011,7.413706654099636e-05,1419.0
11,001011,0.0002461576473491786,1526.0
3,000011,0.0013264574782703908,1637.0
31,011111,0.00017913193790699005,1753.0
47,101111,0.0003784188755323804,1997.0
15,001111,0.00010411596280185039,2255.0
55,110111,0.00020157733053422362,2674.0
59,111011,0.0002588842083300768,2822.0
51,110011,6.502072113933135e-05,2973.0
63,111111,0.000268195138965244,3791.0
