,result,prop,energy
1,000001,0.242877887388524,25.0
9,001001,0.004790043269408317,26.0
18,010010,0.006789711847613076,27.0
26,011010,0.03684513915847998,28.0
38,100110,0.03904342431328614,28.0
29,011101,0.021585063572385786,29.0
5,000101,0.027667584867663887,30.0
33,100001,0.058788577193835026,31.0
42,101010,0.007629277495222634,32.0
22,010110,0.003861265044283721,32.0
20,010100,0.035138294282189286,36.0
6,000110,0.004897399952545616,38.0
34,100010,0.013414971796010703,39.0
41,101001,0.002168115447290877,40.0
24,011000,0.03423740280879138,48.0
45,101101,0.0042456888829939775,49.0
10,001010,0.011229284309886347,50.0
17,010001,0.03067574221666983,51.0
37,100101,0.008651916315457723,52.0
16,010000,0.010428750323006431,63.0
36,100100,0.0004570979229761779,64.0
2,000010,0.03401293872609687,65.0
25,011001,0.009184223517464096,68.0
13,001101,0.003319852965033164,83.0
40,101000,0.0010605377650363353,84.0
30,011110,0.009339082839489086,85.0
21,010101,0.0007636038789220294,88.0
4,000100,0.009181827310806107,106.0
32,100000,0.0038625874441059775,107.0
8,001000,0.008908988691955978,134.0
46,101110,0.0050415244491394395,137.0
0,000000,0.006700070082282769,165.0
53,110101,0.05643890304664399,166.0
28,011100,0.0030723424486211585,201.0
57,111001,0.023035973524754845,202.0
14,001110,0.011020437303673055,203.0
49,110001,0.00421716638728442,241.0
44,101100,0.001100904243513949,285.0
54,110110,0.0034628469884836165,334.0
12,001100,6.496097129972879e-05,383.0
58,111010,0.03226051950145399,386.0
50,110010,0.017634225441595843,441.0
61,111101,0.023382051060422498,499.0
52,110100,0.008206175094512923,562.0
56,111000,0.012138698000252164,630.0
48,110000,0.001014692928161143,701.0
62,111110,0.010667270283103117,779.0
23,010111,0.006744860414997567,1028.0
60,111100,0.0011315849300861799,1119.0
27,011011,0.0029342529705497326,1120.0
19,010011,0.00809437517283216,1215.0
39,100111,0.013781097971917674,1216.0
43,101011,0.004923924859747987,1316.0
7,000111,0.014290883737282501,1418.0
35,100011,0.0010854783164919424,1419.0
11,001011,0.007618134489414167,1526.0
3,000011,0.0009960811645436667,1637.0
31,011111,0.018204275477136923,1753.0
47,101111,0.006227673659042726,1997.0
15,001111,0.002173997145021051,2255.0
55,110111,0.0017432420557104372,2674.0
59,111011,0.005090110277280218,2822.0
51,110011,0.0004107582442675129,2973.0
63,111111,3.4225811029572567e-05,3791.0
