,result,prop,energy
1,000001,0.10408114674692176,25.0
9,001001,0.0041955393582977585,26.0
18,010010,0.0025514283150843016,27.0
26,011010,0.021444819443804587,28.0
38,100110,0.02514936149681717,28.0
29,011101,0.01660223237615789,29.0
5,000101,0.01857224545042928,30.0
33,100001,0.06770094660339458,31.0
42,101010,0.011695502007656754,32.0
22,010110,0.017947470786366864,32.0
20,010100,0.007679850266363621,36.0
6,000110,0.006857354593345418,38.0
34,100010,0.006134665742405278,39.0
41,101001,0.006580168921738207,40.0
24,011000,0.01832502146546943,48.0
45,101101,0.020113025823733477,49.0
10,001010,0.009619388364219442,50.0
17,010001,0.0013711850574637486,51.0
37,100101,0.010647764110197064,52.0
16,010000,0.010177789137739156,63.0
36,100100,0.012829385618997977,64.0
2,000010,0.0405341008491151,65.0
25,011001,0.0046887831813177735,68.0
13,001101,0.024015680081170093,83.0
40,101000,0.03779057810752465,84.0
30,011110,0.004084713922843002,85.0
21,010101,0.008843215861601288,88.0
4,000100,0.009587073414474583,106.0
32,100000,0.02143358963931708,107.0
8,001000,0.004152637829511462,134.0
46,101110,0.007888184858339819,137.0
0,000000,0.012019926999169636,165.0
53,110101,0.009655120026614188,166.0
28,011100,0.004385138832073912,201.0
57,111001,0.004623092818696773,202.0
14,001110,3.197056563330611e-05,203.0
49,110001,0.007762417528812014,241.0
44,101100,0.01273416027010472,285.0
54,110110,0.00031588549335386824,334.0
12,001100,0.0252842015224671,383.0
58,111010,0.024092813699868182,386.0
50,110010,0.00881911562270329,441.0
61,111101,0.004351741647539032,499.0
52,110100,0.018167758320097854,562.0
56,111000,0.001187921139433622,630.0
48,110000,0.003112816436302999,701.0
62,111110,0.030387261653781847,779.0
23,010111,0.013518603761600264,1028.0
60,111100,0.018500134265754135,1119.0
27,011011,0.006091387096032624,1120.0
19,010011,0.05701854015895057,1215.0
39,100111,0.01740294154985881,1216.0
43,101011,0.017630816201041486,1316.0
7,000111,0.011169525274811607,1418.0
35,100011,0.0019081291558825913,1419.0
11,001011,0.019163072755969245,1526.0
3,000011,0.014315349935319566,1637.0
31,011111,0.023375564045992704,1753.0
47,101111,0.009745331355419953,1997.0
15,001111,0.024357832458945457,2255.0
55,110111,0.0031272376869120894,2674.0
59,111011,0.007836559000710085,2822.0
51,110011,0.011651279852570758,2973.0
63,111111,0.012961503435741607,3791.0
